date,prophet_trend,residual_correction,predicted_price
2025-12-19,34410.83863615698,7439.505282917698,41850.34391907468
2025-12-20,34636.50379655197,7050.1386942691415,41686.64249082111
2025-12-21,34616.86298068752,6706.896077000305,41323.75905768782
2025-12-22,34363.07993067276,6552.488650761669,40915.568581434425
2025-12-23,34340.87955735763,6581.995516490996,40922.87507384863
2025-12-24,34321.34355043336,6745.326543602039,41066.6700940354
2025-12-25,34305.199748685154,6973.419299319216,41278.61904800437
2025-12-26,34295.294126121786,7162.903507577477,41458.19763369927
2025-12-27,34535.200667725316,7195.257608283511,41730.45827600882
2025-12-28,34536.17668296785,6949.542567973513,41485.719250941365
2025-12-29,34309.14047746429,6472.909153721079,40782.049631185364
2025-12-30,34319.41485723539,5961.8814291733715,40281.29628640876
2025-12-31,34337.53132725672,5581.89651065414,39919.42783791086
2026-01-01,34363.53214042289,5352.634906304984,39716.167046727875
2026-01-02,34399.45872844902,5243.515603723333,39642.97433217235
2026-01-03,34687.98135589265,5236.597213890198,39924.57856978285
2026-01-04,34739.37701638408,5320.781593674209,40060.15861005829
2026-01-05,34563.53188061067,5421.244416669229,39984.7762972799
2026-01-06,34624.711095016646,5454.457011218566,40079.168106235215
2026-01-07,34692.39007176174,5363.057268611261,40055.44734037301
2026-01-08,34765.58367969906,5175.325046589572,39940.90872628863
2026-01-09,34845.36111751591,4980.482972079048,39825.84408959496
2026-01-10,35173.500577184524,4852.187037538404,40025.68761472293
2026-01-11,35259.49002207925,4823.12743269027,40082.61745476952
2026-01-12,35112.54975276718,4890.616474771022,40003.166227538204
2026-01-13,35196.41899934313,5034.221186814771,40230.6401861579
2026-01-14,35280.20021336067,5220.28737492113,40500.4875882818
2026-01-15,35362.69710767461,5403.00965745199,40765.706765126604
2026-01-16,35444.93398045443,5535.310352541035,40980.24433299546
2026-01-17,35768.810310304776,5589.154592295776,41357.96490260055
